label,title,abstract,doi,notes_i
ref_024,Mangroves as unique but understudied traps for anthropogenic marine debris: A review of present information and the way forward,"Marine debris and plastic pollution affect all coastal habitats, however coastal debris studies are predominantly performed on sandy beaches. Other coastal habitats, such as mangroves, remain understudied. Eighteen of the top twenty rivers that contribute the most plastic to the ocean are associated with mangroves, but very few of those forests were investigated in terms of plastic debris pollution. Here we discuss the results of the few available studies on macrodebris conducted in mangroves, which show that mangrove debris research is still in its early stages, with many areas of study to be further investigated. Indeed, the distinct structural complexity of mangroves increases their ability to trap debris from both terrestrial, freshwater and marine sources, resulting in impacts unique to the mangrove ecosystem. Our review highlights a significant lack in standardisation across the performed surveys. Here we suggest standardised guidelines for future integrated macrodebris and microplastic studies in mangroves to facilitate comparisons between studies. Such standardisation should prioritize the use of stratified random sampling, the measurement of the area covered by the debris and the abundance and type of macrodebris and microplastics found, in order to assess the ecological impact of macrodebris and its role as source of microplastics for adjacent ecosystems. We also advocate the use of standard categories across studies, based on those identified for surveying other coastal habitats. This review highlights an alarming knowledge gap in extent, sources and overall impacts of marine macrodebris, mainly constituted by plastic, on mangrove forests, which hinders policy making to address this issue. Standardised, reliable and extended research on this aspect of mangrove pollution is needed to manage and protect these endangered vegetated coastal ecosystems. © 2020 Elsevier Ltd",10.1016/j.envpol.2020.116291,Plasticos in Oceanos marino
ref_025,Plastic ingestion and dispersion by vultures may produce plastic islands in natural areas,"Rubbish dumps can become an important environmental source of plastic. Several species feed on organic waste from these sites, but at the same time are exposed to non-organic materials. Species that can gather food in these sites might at the same time disperse waste consumed, but this has rarely been evaluated. We compare the occurrence of plastic debris in regurgitated pellets of three sympatric vultures from northwest Patagonia, Andean condors (Vultur gryphus), black vultures (Coragyps atratus) and turkey vultures (Cathartes aura), foraging in different degrees of humanized sites. We also evaluate the influence of rubbish dumps in the presence of plastic debris in pellets of the studied species and their potential role in spreading plastic to the environment. Most synthetic material present in pellets was plastic. Pellets of Andean condors, which avoid disturbed anthropic sites in this area, showed almost no plastic debris compared with the other sympatric vulture species, suggesting an influence of the foraging habits on plastic ingestion. For black and turkey vultures, we found that rubbish dumps may be an important source of plastic. The occurrence of plastic debris in pellets of black vultures sampled in 2010 and 2020 increased, probably associated with the increase in urbanization and waste production in the study area. Avian scavengers were exposed to and are able to transport plastic to distant communal roosts generating “plastic islands”. It is necessary to reduce plastic generation and better waste management practices to avoid species and environments to be affected by this pollutant. © 2020 Elsevier B.V.",10.1016/j.scitotenv.2020.142421,Plastic Ingestion?
ref_026,Cleaner production practices at company level enhance the desire of employees to have a significant positive impact on society through work,"Implementation of cleaner production practices (CPP), service quality (SQ) and corporate social responsibility (CSR) is often studied at organizational level. A number of studies on trio have reported it's significant impact on overall organizational performance and profitability across the globe. However, not much is studied about the individual level micro influence of these constructs on employee engagement (EE), organizational pride (OP), organizational identification (OI) and “desire to have a significant impact through work” (DSIW). Therefore, this study presents a comprehensive framework for assessing the impact of the implementation of CPP, SQ and CSR on EE, OP, OI and DSIW. Data collected from 320 non-managerial staff members employed at a garments manufacturing company in Pakistan was analyzed using partial least square (PLS) approach. Findings revealed that the implementation of CPP, SQ and CSR plays an important role in shaping EE, OP, OI and DSIW in the garments manufacturing industry. Further, it is found that the implementation of CPP has a non-significant impact on SQ. Additionally, results of the importance-performance map analysis (IPMA) have also confirmed that the implementation of CPP at company level has shown a highest importance and performance amongst all the latent constructs proposed as predictors of DSIW in the garments manufacturing industry. These findings are a step forward and unique contribution of this study in the domain of CPP, SQ, CSR, EE, OP, OI and DSIW. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.124605,Sustainable behaviours
ref_027,Overview of global status of plastic presence in marine vertebrates,"The presence of plastic in the environment is generating impacts on all habitats and has become a major global problem in marine megafauna. Macroplastics can cause entanglement, ingestion and loss of suitable habitats. In addition to entanglement problems, there is evidence that plastics are entering the food web through ingestion by marine organisms, which could ultimately be affecting humans. Much of the available information on the impact of plastic in biota is scattered and disconnected due to the use of different methodologies. Here, we review the variety of approaches and protocols followed to assess macro- and microplastic ingestion in marine vertebrates such as sea turtles, cetaceans and fishes in order to offer a global overview of their current status. The analysis of 112 studies indicates the highest plastic ingestion in organisms collected in the Mediterranean and Northeast Indian Ocean with significant differences among plastic types ingested by different groups of animals, including differences in colour and the type of prevalent polymers. In sea turtles, the most prevalent types of plastics are white plastics (66.60%), fibres (54.54%) and LDPE polymer (39.09%); in cetaceans, white macro- and microplastics (38.31%), fibres (79.95%) and PA polymer (49.60%); and in fishes, transparent plastics (45.97%), fibres (66.71%) and polyester polymer (36.20%). Overall, clear fibre microplastics are likely the most predominant types ingested by marine megafauna around the globe. © 2020 John Wiley & Sons Ltd",10.1111/gcb.15416,Plastic in marine vertebrates
ref_035,Advancing circular economy performance indicators and their application in Spanish companies,"Current research on the circular economy (CE) reveals that, while the concept and its application have been extensively explored as shown in several case studies, the definition of tools and criteria measuring “circularity” of products, companies or regions are not well-defined. Therefore, indicators for measuring the different levels of a CE (micro, meso, and macro) should be a high priority for stakeholders (governments, companies, NGOs, civil society, etc.) in order to track progress on CE initiatives. However, the increasing interest on CE has caused a still open debate on the conceptualization of CE which hampers the creation of indicators based on a common conceptual framework. As a result, the absence of standard indicators to track progress on circularity is leading to contradiction and misunderstanding, which represents a challenge to the implementation of CE strategies. Thus, this study tries to address this gap by advancing a set of indicators adapted from existing indicators that guarantees simplicity and effectiveness, closely based on indicators proposed by government bodies. This research carried out an exploratory study to formulate the indicators requirements based on literature, refined through experts’ opinion and then they were tested in Spanish companies located in the Basque Country region through an empirical work to assess this theory. A mix of research methods (e.g. semi-structured interviews and surveys) were used to seek applicability of CE indicators for organisations. The study showed that the proposed indicators currently used for assessing the CE at the macro level were applicable at the micro level based on companies’ responses. This fact demonstrated that the indicators serve the purpose of being applicable to companies regardless of the type of economic activity they were in. Also, it shows that indicators used to monitor progress on CE at the macro level can be translated to the micro level. Consequently, it is recommended that the set of CE indicators focused on the methodology proposed in this study should be used across different industrial sectors in order to observe performance in companies to facilitate the transition to a CE model. © 2020 Elsevier Ltd",10.1016/j.jclepro.2020.123605,NA
ref_038,From circular economy to circular ecology: A review on the solution of environmental problems through circular waste management approaches,"(1) Background: The application of concepts linked to the circular economy (CE) has led to a sudden development of studies in numerous fields. However, the level of environmental sustainability of CE strategies could be improved and this topic deserves more attention by the scientific community. This research addresses this gap and aims at presenting a new concept, named circular ecology (CEL), and its application to the field of waste management. (2) Methods: The paper presents a literature review on the criticalities of CE and on examples of studies that implement the CEL principles. (3) Results: The review highlights that CEL principles are widely applied to several fields of waste management, showing promising opportunities to export the results to other geographical contexts. (4) Conclusions: If supported by governments, CEL approaches may allow solving multiple environmental problems at once, with clear economic, time, resources, and emission savings. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/su13020925,New concept on Circular ecology?
ref_039,Alien wood species as a resource for wood-plastic composites,"Since invasive alien species are one of the main causes of biodiversity loss in the region and thus of changes in ecosystem services, it is important to find the best possible solution for their removal from nature and the best practice for their usability. The aim of the study was to investigate their properties as components of wood-plastic composites and to investigate the properties of the wood-plastic composites produced. The overall objective was to test the potential of available alien plant species as raw material for the manufacture of products. This would contribute to sustainability and give them a better chance of ending their life cycle. One of the possible solutions on a large scale is to use alien wood species for the production of wood plastic composites (WPC). Five invasive alien hardwood species have been used in combination with polyethylene powder (PE) and maleic anhydride grafted polyethylene (MAPE) to produce various flat pressed WPC boards. Microstructural analyses (confocal laser scanning microscopy and scanning electron microscopy) and mechanical tests (flexural strength, tensile strength) were performed. Furthermore, measurements of density, thickness swelling, water absorption and dimensional stability during heating and cooling were carried out. Comparisons were made between the properties of six WPC boards (five alien wood species and mixed boards). The results showed that the differences between different invasive alien wood species were less obvious in mechanical properties, while the differences in sorption properties and dimensional stability were more significant. The analyses of the WPC structure showed a good penetration of the polymer into the lumens of the wood cells and a fine internal structure without voids. These are crucial conditions to obtain a good, mechanically strong and water-resistant material. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/app11010044,"Maybe.
Idea: Composite material with wood for DRAM?"
ref_040,Plastics recycling with tracer-based-sorting: Challenges of a potential radical technology,"To improve the recycling quality of plastics packaging and achieve high recycling rates new identification and sorting technologies are required. Tracer-based-sorting (TBS) is an innovative identification technology based on fluorescent tracers and a corresponding detection unit. TBS can be considered a radical technology change towards a circular economy for plastics and to support sustainability as it has the potential to render several established sorting and/or recycling steps obsolete. This article shows which drivers and barriers are perceived by stakeholders with regard to the implementation of TBS in the market and how challenges are addressed responsibly in the early phases of the innovation process. Influencing external factors and framework conditions of TBS are identified and suitable business models for TBS in a circular economy are discussed. Further, practical recommendations on how to optimize technology and market development for TBS are provided. To obtain these results a mixed method approach of integrated innovation and sustainability analysis, external environment analysis (PESTEL analysis), and business model development approaches was chosen. The research results can be understood as a practical contribution towards a responsible and sustainable implementation of a radical technology-based innovation for a circular economy of plastics. © 2020 by the authors. Li-censee MDPI, Basel, Switzerland.",10.3390/su13010258,"No for everest bio
Sorting techno"
ref_041,Review of plastic pollution policies of Arctic countries in relation to seabirds,"Marine plastic is a ubiquitous environmental problem that can have an impact on a variety of marine biota, such as seabirds, making it an important concern for scientists and policy makers. Although research on plastic ingestion by seabirds is increasing, few studies have examined policies and long-term monitoring programs to reduce marine plastic in the Arctic. This paper provides a review of international, national, and regional policies and long-term monitoring programs that address marine plastic in relation to seabirds in the Arctic countries: Canada, the Kingdom of Denmark (Greenland and the Faroe Islands), Finland, Iceland, Norway, the Russian Federation, Sweden, and the United States of America. Results show that a broad range of international, national, regional and local policies address marine debris, specifically through waste management and the prevention of pollution from ships. However, few policies directly address seabirds and other marine biota. Further, policies are implemented inconsistently across regions, making it difficult to enforce and monitor the efficacy of these policies given the long-range transport of plastic pollution globally. To reduce marine plastic pollution in the Arctic environment, pan-Arctic and international collaboration is needed to implement standardized policies and long-term monitoring programs for marine plastic in the Arctic and worldwide. Copyright © 2021 Linnebjerg et al.",10.1139/FACETS-2020-0052,Marine plastics literature
ref_043,A perspective on the role of uncertainty in sustainability science and engineering,"The Trans-Atlantic Research and Development Interchange on Sustainability Workshop (TARDIS) is a meeting on scientific topics related to sustainability. The 2019 workshop theme was ""On the Role of Uncertainty in Managing the Earth for Global Sustainability."" This paper presents the perspectives on this topic derived from talks and discussions at the 2019 TARDIS workshop. There are four kinds of uncertainties encountered in sustainability ranging from clear enough futures to true surprises. The current state-of-the-art in assessing and mitigating these uncertainties is discussed. © 2020 Elsevier B.V.",10.1016/j.resconrec.2020.105140,NA
ref_046,A participatory methodology for characterizing and prescribing water-energy-food nexus based on improved casual loop diagrams,"As the basis of quantitative research over water-energy-food nexus (WEFN), qualitative analysis is indispensable for depicting the systems and providing effective measures and policies. Preceding qualitative WEFN studies largely neglected the role of local stakeholder participation, which could only reflect fragments of the systems. Causal loop diagrams (CLDs) have been proven to be effective for supporting stakeholder participation in many other areas. Nevertheless, there was a lack of impartial methods that could make CLD analysis tractable without significantly impairing the WEFN systems integrity. To fill such gaps, a novel method based on merging and reduction rules was proposed to reasonably merge and downscale WEFN CLDs built by stakeholders. Based on this improved method, a CLD-based methodology was developed as a prototype for characterizing WEFN systems, prescribing the WEFN problem, exploring its causes and consequences, and identifying effective measures and policies for alleviating conflicts. To validate the applicability of the developed methodology, it was applied to a real case. The results indicated that total water consumption, water allocation among varied sectors, available surface water, and available groundwater, as well as indirect factors such as volume of diverted water and agricultural water consumption, were the keys to alleviate water scarcity problem under WEFN in the study area. Measures and polices focusing on the interactions between surface water and groundwater could be viable for alleviating the problem. Directions to enhance tradeoffs and synergies within WEFN systems were also obtained. © 2020 Elsevier B.V.",10.1016/j.resconrec.2020.105124,NA
ref_047,The role of urban manufacturing for a circular economy in cities,"In recent years, implementing a circular economy in cities (or “circular cities”) has been proposed by policy makers as a potential solution for achieving sustainability. One strategy for circular cities is to reintroduce manufacturing into urban areas (or “urban manufacturing”), allowing resource flows to be localized at the city scale. However, the extent to which urban manufacturing contributes to circular cities is unclear in existing literature. The purpose of this paper is therefore twofold: to understand whether urban manufacturing could contribute to the circular economy, and to understand the drivers and barriers to circular urban manufacturing. By reviewing existing literature and interviewing experts, we identified the caveats for the contribution of urban manufacturing to circular cities, as well as the spatial, social, and material-related drivers and barriers for circular urban manufacturing. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/su13010023,Urban manufacturing opur INEDIT?
ref_050,Carbon offsets: An lca perspective,"Carbon offsets as an additional measure to mitigate climate change are on the agenda in recent years. This study analyzes the three carbon offsetting programs (the Clean Development Mechanism, the Verified Carbon Standard and the Gold Standard) with the largest market shares by systematically comparing their standard documents with environmental Life Cycle Assessment (LCA) standards (ISO 14067 and ISO 14040/44). The programs’ most important methodologies are assigned to the sectors forestry, renewable energy, energy efficiency, industrial gas, and waste. We analyzed each sector for its compatibility with LCA using a criteria evaluation scheme to answer the main question, whether the methodologies provide guidance on life cycle emission accounting and what uncertainties they face. The offsetting standards differ from LCA standards due to different analyzed systems, system boundaries and purposes of their methods. Furthermore, offsetting methods always apply scenario analysis. Environmental impacts apart from greenhouse gases are not quantified, rather environmental impact assessments of heterogeneous quality are applied. We find that the approaches in the analyzed carbon offsets are incompatible with the LCA approach, mainly because they always involve scenario analysis, do not include all life-cycle phases and do not account for additional (negative) environmental and social impacts that project activities related to carbon offsets may cause. © 2021, Springer Nature Switzerland AG.",10.1007/978-3-030-50519-6_14,Carbon indicators literature
ref_052,Sustainability check for bio-based technologies: A review of process-based and life cycle approaches,"Industries across the world are making a transition from fossil resources to renewable biological feedstock for the production of chemicals, fuels, and materials, as a strategy to promote sustainable development and economic growth. However, limited biomass availability can halt the expansion of bio-based sectors, unless alternative raw materials are employed and cascading uses are implemented on a large scale. Key Enabling Technologies (KETs) can contribute to feedstock diversification and improved biomass conversion efficiencies along supply chains, although concerns arise about their actual viability and competitiveness. A systematic review of Life Cycle Assessments (LCAs) and related process-based approaches is carried out to evaluate the sustainability of advanced bio-based technologies, defined as those that use either non-food feedstock or circularity principles –or both– for delivering diverse products. A classification scheme is proposed to categorise KETs based on the feedstock employed (plant residues and perennials, designer crops, algae, or biological waste) or the underlying technological configuration (enzyme/microbial assisted processing or biorefineries). Results show that producing biofuels and biochemicals from perennial plants, lignocellulosic residues and algae has advantages in terms of greenhouse gas emissions relative to their fossil counterparts, while trade-offs occur with other environmental impacts and sustainability dimensions. Cradle-to-cradle systems can deliver additional sustainability gains, but their implementation poses technical and socio-political challenges. Further harmonisation of LCA methodologies is desirable to compare KETs in different sectoral, geographical and policy contexts. In spite of the diversity of outcomes and approaches, this review provides an overview of advanced bio-based technologies, while shedding light on the often overestimated sustainability benefits of the bioeconomy. © 2020 Elsevier Ltd",10.1016/j.rser.2020.110213,bioeconomy literature
