Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Rugani B., Maia de Souza D., Weidema B.P., Bare J., Bakshi B., Grann B., Johnston J.M., Pavan A.L.R., Liu X., Laurent A., Verones F.","22986401100;55657124600;55941882400;7005200803;7004361932;57209833175;7403397723;56306020300;57194192915;37064653300;36680747200;","Towards integrating the ecosystem services cascade framework within the Life Cycle Assessment (LCA) cause-effect methodology",2019,"Science of the Total Environment","690",,,"1284","1298",,26,"10.1016/j.scitotenv.2019.07.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068832869&doi=10.1016%2fj.scitotenv.2019.07.023&partnerID=40&md5=f058a5bce70023d7e958ec2fe7db94ee","Environmental Research & Innovation (ERIN) department, Luxembourg Institute of Science and Technology (LIST), Belvaux, Luxembourg; Département de stratégie, responsabilité sociale et environnementale, Université du Québec à Montréal (UQÀM), Montréal, QC, Canada; Danish Centre for Environmental Assessment, Aalborg University, Aalborg, Denmark; Office of Research and Development, National Risk Management Research Laboratory, United States Environmental Protection Agency (US EPA), Cincinnati, OH, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; FPInnovations, Vancouver, Canada; Office of Research and Development, National Exposure Research Laboratory, United States Environmental Protection Agency (US EPA), Athens, GA, United States; Center for Water Resource and Environmental Studies, São Carlos School of Engineering, University of São Paulo, São Carlos, SP  13566-590, Brazil; Quantitative Sustainability Assessment (QSA) Group, Sustainability Division, DTU Management, Technical University of Denmark (DTU), Kgs. Lyngby, Denmark; Industrial Ecology Programme, Norwegian University of Science and Technology NTNU, Trondheim, Norway","Rugani, B., Environmental Research & Innovation (ERIN) department, Luxembourg Institute of Science and Technology (LIST), Belvaux, Luxembourg; Maia de Souza, D., Département de stratégie, responsabilité sociale et environnementale, Université du Québec à Montréal (UQÀM), Montréal, QC, Canada; Weidema, B.P., Danish Centre for Environmental Assessment, Aalborg University, Aalborg, Denmark; Bare, J., Office of Research and Development, National Risk Management Research Laboratory, United States Environmental Protection Agency (US EPA), Cincinnati, OH, United States; Bakshi, B., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Grann, B., FPInnovations, Vancouver, Canada; Johnston, J.M., Office of Research and Development, National Exposure Research Laboratory, United States Environmental Protection Agency (US EPA), Athens, GA, United States; Pavan, A.L.R., Center for Water Resource and Environmental Studies, São Carlos School of Engineering, University of São Paulo, São Carlos, SP  13566-590, Brazil; Liu, X., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Laurent, A., Quantitative Sustainability Assessment (QSA) Group, Sustainability Division, DTU Management, Technical University of Denmark (DTU), Kgs. Lyngby, Denmark; Verones, F., Industrial Ecology Programme, Norwegian University of Science and Technology NTNU, Trondheim, Norway","The assessment of ecosystem services (ES) is covered in a fragmented manner by environmental decision support tools that provide information about the potential environmental impacts of supply chains and their products, such as the well-known Life Cycle Assessment (LCA) methodology. Within the flagship project of the Life Cycle Initiative (hosted by UN Environment), aiming at global guidance for life cycle impact assessment (LCIA) indicators, a dedicated subtask force was constituted to consolidate the evaluation of ES in LCA. As one of the outcomes of this subtask force, this paper describes the progress towards consensus building in the LCA domain concerning the assessment of anthropogenic impacts on ecosystems and their associated services for human well-being. To this end, the traditional LCIA structure, which represents the cause-effect chain from stressor to impacts and damages, is re-casted and expanded using the lens of the ES ‘cascade model’. This links changes in ecosystem structure and function to changes in human well-being, while LCIA links the effect of changes on ecosystems due to human impacts (e.g. land use change, eutrophication, freshwater depletion) to the increase or decrease in the quality and/or quantity of supplied ES. The proposed cascade modelling framework complements traditional LCIA with information about the externalities associated with the supply and demand of ES, for which the overall cost-benefit result might be either negative (i.e. detrimental impact on the ES provision) or positive (i.e. increase of ES provision). In so doing, the framework introduces into traditional LCIA the notion of “benefit” (in the form of ES supply flows and ecosystems' capacity to generate services) which balances the quantified environmental intervention flows and related impacts (in the form of ES demands) that are typically considered in LCA. Recommendations are eventually provided to further address current gaps in the analysis of ES within the LCA methodology. © 2019 Elsevier B.V.","benefit; cascade model; cause-effect chain; ecosystem services; life cycle assessment (LCA); valuation","Cost benefit analysis; Decision support systems; Ecosystems; Environmental impact; Eutrophication; Land use; Resource valuation; Stream flow; Supply chains; benefit; CASCADE model; Cause-effect; Ecosystem services; Life Cycle Assessment (LCA); Life cycle; fresh water; anthropogenic effect; ecosystem service; ecosystem structure; environmental impact; life cycle analysis; supply chain management; Article; consensus development; decision support system; drought; environmental impact assessment; environmental management; eutrophication; human impact (environment); information processing; land use; life cycle assessment; methodology; priority journal",Article,"Final","",Scopus,2-s2.0-85068832869
"Lee K., Ghosh T., Bakshi B.R.","57208621257;57194178190;7004361932;","Toward multiscale consequential sustainable process design: Including the effects of economy and resource constraints with application to green urea production in a watershed",2019,"Chemical Engineering Science","207",,,"725","743",,4,"10.1016/j.ces.2019.06.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068454007&doi=10.1016%2fj.ces.2019.06.028&partnerID=40&md5=8a9ed12cd1679cf869da8ded7c5d88b7","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Lee, K., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Ghosh, T., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Decisions made by approaches that only consider the environmental domain could result in unexpected outcomes due to burdens shifting to economic and social domains. These consequences could occur through the entire supply chain at multiple spatial scales. In this work, the process-to-planet (P2P) multiscale modeling framework is integrated with the rectangular choice-of-technology (RCOT) consequential approach. The resulting RCOT-P2P multiscale technology choice modeling framework takes account of market effects, such as economic resource constraints, as a consequential approach for designing engineering systems and their supply chain networks. The integrated modeling framework can represent different stakeholders’ interests by considering engineering, environmental, and economic dimensions. The case study focuses on installation of a new green urea production system in a watershed where there are limited supplies of resources, such as water and land area. We identify how the adoption of new technologies could change and be limited by market constraints, as the urea demand increases. This multiscale consequential framework is useful for modeling substitution effects of emerging technologies while considering market effects. © 2019 Elsevier Ltd","Consequential modeling approach; Green urea production; Market effects; Multiple technology choices; Multiscale optimization; Supply chain network design","Commerce; Flow measurement; Metabolism; Peer to peer networks; Supply chains; Urea; Watersheds; Consequential modeling; Market effect; Multi-scale optimization; Multiple technology; Supply chain network design; Urea production; Economic and social effects",Article,"Final","",Scopus,2-s2.0-85068454007
"Ghosh T., Bakshi B.R.","57194178190;7004361932;","Designing biofuel supply chains while mitigating harmful algal blooms with treatment wetlands",2019,"Computers and Chemical Engineering","126",,,"113","127",,9,"10.1016/j.compchemeng.2019.03.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064457197&doi=10.1016%2fj.compchemeng.2019.03.041&partnerID=40&md5=73d1feae3c5b6a065fa9b14522ce59fb","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States","Ghosh, T., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, 151 W. Woodruff Avenue, Columbus, OH  43210, United States","Preventing harmful algal blooms (HAB) in water bodies is an urgent environmental challenge across the world. This is a side effect from the supply chain of products from agricultural biomass, and renders many bio-based products environmentally unsustainable. Most existing efforts for designing sustainable supply chains aim to reduce the life cycle environmental impact, while ignoring nature's role in absorbing the emissions. Using the framework of techno-ecological synergy (TES), this work explicitly accounts for the role of wetlands in absorbing farm runoff to design environmentally sustainable biofuel supply chains. Application to a twenty-one county region of Northwest Ohio, which is largely responsible for HABs in Lake Erie, indicates opportunities for designing techno-ecological supply networks that are economically and ecologically superior to conventional techno-centric networks. Using the TES framework also provides counterintuitive solutions that encourage intensive agriculture with higher phosphorus runoff if there is enough land available for conversion into wetland ecosystems. © 2019 Elsevier Ltd","Algal blooms; Biofuel; Ecosystem services; Eutrophication; Process design; Sustainable supply chains","Agricultural runoff; Agriculture; Algae control; Biofuels; Ecosystems; Environmental impact; Eutrophication; Lakes; Process design; Sustainable development; Wetlands; Agricultural biomass; Algal blooms; Biofuel supply chains; Ecosystem services; Environmental challenges; Harmful algal blooms; Life-cycle environmental impact; Sustainable supply chains; Supply chains",Article,"Final","",Scopus,2-s2.0-85064457197
"Bakshi B.R.","7004361932;","Toward sustainable chemical engineering: The role of process systems engineering",2019,"Annual Review of Chemical and Biomolecular Engineering","10",,,"265","288",,16,"10.1146/annurev-chembioeng-060718-030332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067126360&doi=10.1146%2fannurev-chembioeng-060718-030332&partnerID=40&md5=bf8e63bb3cba83d2b3e45e8f275a0d9b","Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States","Bakshi, B.R., Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States","Products from chemical engineering are essential for human well-being, but they also contribute to the degradation of ecosystem goods and services that are essential for sustaining all human activities. To contribute to sustainability, chemical engineering needs to address this paradox by developing chemical products and processes that meet the needs of present and future generations. Unintended harm of chemical engineering has usually appeared outside the discipline's traditional system boundary due to shifting of impacts across space, time, flows, or disciplines, and exceeding nature's capacity to supply goods and services. Being a subdiscipline of chemical engineering, process systems engineering (PSE) is best suited for ensuring that chemical engineering makes net positive contributions to sustainable development. This article reviews the role of PSE in the quest toward a sustainable chemical engineering. It focuses on advances in metrics, process design, product design, and process dynamics and control toward sustainability. Efforts toward contributing to this quest have already expanded the boundary of PSE to consider economic, environmental, and societal aspects of processes, products, and their life cycles. Future efforts need to account for the role of ecosystems in supporting industrial activities, and the effects of human behavior and markets on the environmental impacts of chemical products. Close interaction is needed between the reductionism of chemical engineering science and the holism of process systems engineering, along with a shift in the engineering paradigm from wanting to dominate nature to learning from it and respecting its limits. Copyright © 2019 by Annual Reviews. All rights reserved.","Holistic research; Process and product design; Process control; Reductionism; Sustainability metrics; Sustainable development","Behavioral research; Degradation; Ecosystems; Engineering education; Environmental impact; Life cycle; Planning; Process design; Product design; Sustainable development; Systems engineering; Chemical products; Future generations; Industrial activities; Process dynamics; Process systems engineering; Reductionism; Sustainability metrics; Traditional systems; Process control; chemical engineering; ecosystem; equipment design; green chemistry; Chemical Engineering; Ecosystem; Equipment Design; Green Chemistry Technology",Review,"Final","",Scopus,2-s2.0-85067126360
"Liu X., Bakshi B.R.","57194192915;7004361932;","Ecosystem Services in Life Cycle Assessment while Encouraging Techno-Ecological Synergies",2019,"Journal of Industrial Ecology","23","2",,"347","360",,19,"10.1111/jiec.12755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043227062&doi=10.1111%2fjiec.12755&partnerID=40&md5=5c2815906b7e068dc45d9b3403ed4ec7","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States","Liu, X., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH, United States","Life cycle assessment (LCA) has enabled consideration of environmental impacts beyond the narrow boundary of traditional engineering methods. This reduces the chance of shifting impacts outside the system boundary. However, sustainability also requires that supporting ecosystems are not adversely affected and remain capable of providing goods and services for supporting human activities. Conventional LCA does not account for this role of nature, and its metrics are best for comparing alternatives. These relative metrics do not provide information about absolute environmental sustainability, which requires comparison between the demand and supply of ecosystem services (ES). Techno-ecological synergy (TES) is a framework to account for ES, and has been demonstrated by application to systems such as buildings and manufacturing activities that have narrow system boundaries. This article develops an approach for techno-ecological synergy in life cycle assessment (TES-LCA) by expanding the steps in conventional LCA to incorporate the demand and supply of ecosystem goods and services at multiple spatial scales. This enables calculation of absolute environmental sustainability metrics, and helps identify opportunities for improving a life cycle not just by reducing impacts, but also by restoring and protecting ecosystems. TES-LCA of a biofuel life cycle demonstrates this approach by considering the ES of carbon sequestration, air quality regulation, and water provisioning. Results show that for the carbon sequestration ecosystem service, farming can be locally sustainable but unsustainable at the global or serviceshed scale. Air quality regulation is unsustainable at all scales, while water provisioning is sustainable at all scales for this study in the eastern part of the United States. © 2018 by Yale University","biofuel; ecosystem services; environmental metrics; industrial ecology; life cycle assessment (LCA); sustainability assessment","Air quality; Biofuels; Carbon; Life cycle; Mergers and acquisitions; Sustainable development; Ecosystem services; Environmental metrics; Industrial ecology; Life Cycle Assessment (LCA); Sustainability assessment; Ecosystems; air quality; biofuel; carbon sequestration; ecosystem service; environmental impact; human activity; industrial ecology; life cycle analysis; sustainability; United States",Article,"Final","",Scopus,2-s2.0-85043227062
"Jadhao S.B., Pandit A.B., Bakshi B.R.","34569780900;56679112700;7004361932;","Resource Utilization and Destruction in Indian Industrial Sectors: An Exergy Analysis",2019,"Industrial and Engineering Chemistry Research","58","26",,"11566","11575",,2,"10.1021/acs.iecr.8b06131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064812966&doi=10.1021%2facs.iecr.8b06131&partnerID=40&md5=8383ae39a732274e11c399f9091fe6db","Institute of Chemical Technology, Mumbai, 400019, India; William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States","Jadhao, S.B., Institute of Chemical Technology, Mumbai, 400019, India; Pandit, A.B., Institute of Chemical Technology, Mumbai, 400019, India; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States","This work analyzes the utility, industry, residential-commercial, transport, and agriculture sectors in India over the period 1970-2010 by using exergy analysis. The resuts include trends of exergy consumption in various resources, exergy efficiency of conversion, and exergy losses. The goal of this analysis is to evaluate the performance of various individual sectors in India in terms of their efficiency of resource utilization. This study identifies the major inefficient sectors and subunits that have maximum improvement potential. It analyses how the change in resource flow, policy, and socio-economic changes in each sector have affected the overall scenario. By analyzing the trends, it is observed that the average exergy efficiency for electricity generation has continued to decrease with increased share of coal-fuelled thermal power generation. Out of the sectors studied, the residential sector is found to be the least exergy efficient (13%), followed by the transportation (22.5%) and utility sectors (33.5%). The overall exergy utilization efficiency of the industry sector is in the range 24% to 75%. Results show that in each of the sectors studied, high quality resources extracted from the earth are being wasted. The losses of resource conversion in these sectors can be avoided by technological improvement, appropriate policies, and education to enhance societal awareness. © 2019 American Chemical Society.",,"Efficiency; Housing; Electricity generation; Exergy efficiencies; Exergy utilization efficiencies; Resource conversion; Resource utilizations; Socio-economic change; Technological improvements; Thermal power generation; Exergy",Article,"Final","",Scopus,2-s2.0-85064812966
"Gopalakrishnan V., Ziv G., Bakshi B.R.","57069710200;56348216800;7004361932;","Role of Vegetation in Mitigating Air Emissions Across Industrial Sites in the US",2019,"ACS Sustainable Chemistry and Engineering","7","4",,"3783","3791",,5,"10.1021/acssuschemeng.8b04360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061283744&doi=10.1021%2facssuschemeng.8b04360&partnerID=40&md5=5ec9b3d6bb64c49d5bea0c22ecede288","Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States; School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom; Ramboll, San Francisco, CA, United States","Gopalakrishnan, V., Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States; Ziv, G., School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom, Ramboll, San Francisco, CA, United States; Bakshi, B.R., Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH  43210, United States","Despite wide adoption of pollution control technologies, industrial facilities emit about half the criteria air pollutants in the U.S. And contribute to poor air quality in many regions. Vegetation such as trees, shrubs, and grasses also have the capacity to directly remove air pollution. This work assesses the role of vegetation, particularly trees, in mitigating air emissions near point sources at nearly 20,000 sites across the U.S. Additional mitigation capacity due to ecological restoration to the average local vegetation is also determined. Comparing emissions with the average uptake capacity at each site indicates that currently most sites in the Southeastern part of the U.S. Have enough vegetation cover to offset most emissions while industrial facilities, particularly those in the Western part of the country can benefit the most from restoration. A relatively large fraction of sites in the mining, quarrying, and oil and gas extraction, transportation and warehousing, and management of companies and enterprises sectors have enough current or restored capacity to mitigate their emissions. Land around facilities in the finance and insurance, real estate, and retail and leasing sectors lacks much capacity. Such results encourage further work toward sustainable engineering by seeking synergies between industrial and ecological systems. © Copyright © 2019 American Chemical Society.","Absolute sustainability; Air pollution; Ecosystem service; Nature-based solution; Point sources; Vegetation","Air pollution; Air quality; Ecosystems; Forestry; Gas emissions; Industrial emissions; Petroleum transportation; Restoration; Sustainable development; Vegetation; Criteria air pollutants; Ecological restoration; Ecological systems; Ecosystem services; Industrial facilities; Point sources; Pollution control technology; Sustainable engineering; Air pollution control",Article,"Final","",Scopus,2-s2.0-85061283744
"Ghosh T., Bakshi B.","57194178190;7004361932;","Design of sustainable biofuel supply chains while accounting for spatial variability of nutrient runoff and ecosystem services",2019,"AIChE Annual Meeting, Conference Proceedings","2019-November",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095695569&partnerID=40&md5=e20b26d4b14f767bef0732886638153b","Massachusetts Institute of Technology Energy Initiative, Cambridge, MA, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States","Ghosh, T., Massachusetts Institute of Technology Energy Initiative, Cambridge, MA, United States; Bakshi, B., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-85095695569
"Ghosh T., Lee K., Thakker V., Bakshi B.","57194178190;57208621257;57219843312;7004361932;","Attributional to consequential life cycle assessment - steps toward a unified framework",2019,"AIChE Annual Meeting, Conference Proceedings","2019-November",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095681922&partnerID=40&md5=8ad22d2c9071e9b9d0198564fdacfa5c","Massachusetts Institute of Technology Energy Initiative, Cambridge, MA, United States; William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States","Ghosh, T., Massachusetts Institute of Technology Energy Initiative, Cambridge, MA, United States; Lee, K., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States; Thakker, V., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States; Bakshi, B., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-85095681922
"Ghosh T., Lee K., Bakshi B.R.","57194178190;57208621257;7004361932;","Integrating Market Models and Price Effects in a Multiscale Sustainable Process Design Framework",2019,"Computer Aided Chemical Engineering","47",,,"175","180",,1,"10.1016/B978-0-12-818597-1.50028-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069933601&doi=10.1016%2fB978-0-12-818597-1.50028-X&partnerID=40&md5=86524409f2a6b578de7eeda6c902bc10","The Ohio State University ColumbusOH  43210, United States","Ghosh, T., The Ohio State University ColumbusOH  43210, United States; Lee, K., The Ohio State University ColumbusOH  43210, United States; Bakshi, B.R., The Ohio State University ColumbusOH  43210, United States","Sustainable process design has employed life cycle assessment (LCA) methods for determining the environmental impact while designing manufacturing technologies. However, system boundary problem and other deficiencies of LCA propagates down to the design problem, resulting in suboptimal solutions. While conventional LCA methods have mostly been attributional in nature, a new branch of LCA, known as consequential LCA has developed which is more practical and realistic for application to decision making. The main objective of this LCA method is to account for direct and indirect consequences due to a certain decision such as introduction of a new environmentally friendly product or technology. In this work, we explore some of the approaches being used for consequential LCA from a sustainable process design perspective and develop a multiscale framework that can combine policy design, supply chain design and design of manufacturing processes. This framework utilizes both the system expansion method as well as economic equilibrium models for performing consequential analysis. The method is applied to a small case study to observe the effects on the design of a manufacturing process due to tax on a conventional technology to promote the use of an environmentally better novel technology. © 2019 Elsevier B.V.","Consequential LCA; equilibrium models; policy design; process design; supply chain design",,Book Chapter,"Final","",Scopus,2-s2.0-85069933601
"Shah U.D., Bakshi B.R.","57210205684;7004361932;","Design and Operation of Technoecological Synergy: A No2 Case Study",2019,"Computer Aided Chemical Engineering","47",,,"193","198",,1,"10.1016/B978-0-12-818597-1.50031-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069913942&doi=10.1016%2fB978-0-12-818597-1.50031-X&partnerID=40&md5=5c0b5e7d92e5fc89b53e08a1001b5d87","The Ohio State University ColumbusOH  43210, United States","Shah, U.D., The Ohio State University ColumbusOH  43210, United States; Bakshi, B.R., The Ohio State University ColumbusOH  43210, United States","Over last several decades, engineering design has expanded to not only make processes more profitable but to reduce environmental impact of human activities. Despite these efforts, human impact on nature is still significant as engineering tends to ignore nature's capacity to provide goods and services which leads to ecological overshoot. Hence, in order to design truly sustainable systems, one should consider alternatives that can help reduce ecological overshoot and avoid unintended consequences. Nature-based solutions like forest, wetlands, etc. can help alleviate ecological capacity and avoid unintended consequences, as nature has always been “sustainable”. In order to use these ecological solutions, traditional large-scale chemical processing facilities have to embrace and respect the intermittent seasonal availability of ecological goods and services. In this work, we consider a chloralkali production with attached utility generator that is located in Freeport Texas, which is a nitrogen dioxide (NO2) non-attainment zone where NO2 emissions are not permitted. Utility generation unit emits nitrogen dioxide and the goal of the operator is to limit emission of NO2 for which we explore two alternatives: 1) a technological unit known as Selective Catalytic Reactor (SCR) 2) an ecological solution in form of forest ecosystem. We use iTree-Eco and Forest Vegetation Simulator (FVS) to model monthly capacity of forest ecosystem to take up NO2 emissions over a period of 20 years. Combining the technological and ecological models, we solve a stochastic mixed integer design and operation planning problem to find optimal combination of technology and nature. This novel synergistic solution is economically and environmentally superior manufacturing approach compared to traditional systems that ignore nature's ability to provide goods and services. These results demonstrate the need to shift from traditional engineering paradigm of out pacing nature to adopting the dynamics of nature to get maximum sustainable profitability. © 2019 Elsevier B.V.","Design under uncertainty; Ecosystem services; Sustainability; Techno-ecological synergy",,Book Chapter,"Final","",Scopus,2-s2.0-85069913942
"Liu X., Charles M., Bakshi B.R.","57194192915;57209278539;7004361932;","Including ecosystem services in life cycle assessment: Methodology and application to urban farms",2019,"Procedia CIRP","80",,,"287","291",,4,"10.1016/j.procir.2018.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067196298&doi=10.1016%2fj.procir.2018.12.004&partnerID=40&md5=d0ba8def57f54c94ea9e1529e851d7a8","William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States","Liu, X., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States; Charles, M., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, Ohio State University, Columbus, OH, United States","Conventional life cycle assessment (LCA) compares technological alternatives and chooses the one that has lower environmental impact, making it an approach for assessing relative sustainability. Such an approach largely ignores the role of ecosystem services (ES) and ecological carrying capacity, despite their essential role in sustaining all human activities. Such ignorance may lead to the over-dependence on scarce resources, perverse impacts on ecosystems, and lost opportunities for improvement. The framework of Techno-Ecological Synergy (TES) accounts for the demand and supply of ES at multiple spatial scales and defines metrics for absolute sustainability at both local and serviceshed scales. Applications of TES have been mainly focusing on localized systems. To prevent the shifting of impacts, a life cycle perspective is also needed. The authors have proposed the Techno-Ecological Synergy in Life Cycle Assessment (TES-LCA) framework by modifying each step in conventional LCA to incorporate the role of ecosystem goods and services. On one hand, TES-LCA advocates conventional solutions of impact reduction through technological improvements. On the other hand, it provides additional insights, including discovering novel ecological solutions to push toward absolute environmental sustainability. Thus, TES-LCA can offer a more comprehensive portfolio on sustainability performance evaluation. The substantial benefits of TES-LCA have been demonstrated by an application to urban farms. © 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license","Computational Structure; Ecosystem Services; Life Cycle Assessment; Methodology","Artificial life; Ecosystems; Environmental impact; Sustainable development; Computational structure; Ecological carrying capacity; Ecosystem services; Environmental sustainability; Life Cycle Assessment (LCA); Methodology; Sustainability performance; Technological alternatives; Life cycle",Conference Paper,"Final","",Scopus,2-s2.0-85067196298
"Liu X., Ziv G., Bakshi B.R.","57194192915;56348216800;7004361932;","Ecosystem services in life cycle assessment - Part 2: Adaptations to regional and serviceshed information",2018,"Journal of Cleaner Production","197",,,"772","780",,10,"10.1016/j.jclepro.2018.05.283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049356700&doi=10.1016%2fj.jclepro.2018.05.283&partnerID=40&md5=afffdbd5405577e8c0a18bbb19d0ceab","William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom","Liu, X., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States; Ziv, G., School of Geography, University of Leeds, Leeds, LS2 9JT, United Kingdom; Bakshi, B.R., William G. Lowrie Department of Chemical and Biomolecular Engineering, The Ohio State University, Columbus, OH  43210, United States","Regionalized life cycle assessment (LCA) is receiving more attention among LCA practitioners due to spatial variation in process efficiency of technological systems and current status of ecological systems. However, the role of ecosystem services (ES) in supporting technological activities is still ignored. Techno-Ecological Synergies in Life Cycle Assessment (TES-LCA) is a methodology that captures the interactions between and within technological and ecological systems, along a product's life cycle. It accounts for local and absolute environmental sustainability by comparing the demand and supply of ES at multiple spatial scales. To facilitate its wider adoption, the basic computational framework has been proposed in Part 1, which includes technologies and ecosystems in an integrated manner. To handle the complications induced by explicitly considering ES, which operate within servicesheds at multiple spatial scales, the TES-LCA computational structure is modified to account for spatial variation in technological and ecological systems in Part 2. The regionalized TES-LCA framework is demonstrated through an expanded case study to show its capability to capture different scenarios of regionalization, including variation in process efficiency, ecological carrying capacity (CC), characterization factors (CF), and the scales at which ES operate. The approach is then proved to be general and able to subsume existing approaches, such as regionalized LCA, GIS-LCA and recent extensions based on normalizing CF by ecological CC to calculate absolute sustainability metrics. It is recommended that the developed computational structure should be implemented in LCA software with the functionality for handling geographical information. Also, the regionalized information about ES demand and supply needs to be made available in future versions of life cycle inventory databases. © 2018 Elsevier Ltd","Computational structure; Ecosystem service; Environmental sustainability; Life cycle assessment","Ecosystems; Efficiency; Sustainable development; Characterization factors; Computational structure; Ecological carrying capacity; Ecosystem services; Environmental sustainability; Geographical information; Life Cycle Assessment (LCA); Life cycle inventory database; Life cycle",Article,"Final","",Scopus,2-s2.0-85049356700
